"110年07月27日 外資及陸資買賣超彙總表"
,,,"外資及陸資(不含外資自營商)",,,"外資自營商",,,"外資及陸資",,,
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
" ","2455  ","全新            ","1,946,000","843,000","1,103,000","0","0","0","1,946,000","843,000","1,103,000",
" ","8046  ","南電            ","2,344,215","1,267,203","1,077,012","0","0","0","2,344,215","1,267,203","1,077,012",
" ","2637  ","慧洋-KY         ","6,195,000","5,139,020","1,055,980","0","0","0","6,195,000","5,139,020","1,055,980",
" ","5876  ","上海商銀        ","1,710,856","656,085","1,054,771","0","0","0","1,710,856","656,085","1,054,771",
" ","2347  ","聯強            ","2,043,972","996,000","1,047,972","0","0","0","2,043,972","996,000","1,047,972",
" ","2069  ","運錩            ","2,435,000","1,398,000","1,037,000","0","0","0","2,435,000","1,398,000","1,037,000",
" ","2634  ","漢翔            ","1,196,000","196,000","1,000,000","0","0","0","1,196,000","196,000","1,000,000",
" ","2617  ","台航            ","5,578,000","4,597,000","981,000","0","0","0","5,578,000","4,597,000","981,000",
" ","4952  ","凌通            ","1,854,000","882,000","972,000","0","0","0","1,854,000","882,000","972,000",
" ","2612  ","中航            ","4,210,000","3,271,000","939,000","0","0","0","4,210,000","3,271,000","939,000",
" ","6505  ","台塑化          ","2,290,192","1,355,396","934,796","0","0","0","2,290,192","1,355,396","934,796",
" ","2891  ","中信金          ","7,745,656","6,813,946","931,710","0","0","0","7,745,656","6,813,946","931,710",
" ","2379  ","瑞昱            ","3,494,565","2,563,746","930,819","0","0","0","3,494,565","2,563,746","930,819",
" ","2009  ","第一銅          ","2,803,000","1,873,500","929,500","0","0","0","2,803,000","1,873,500","929,500",
" ","2605  ","新興            ","7,016,100","6,116,000","900,100","0","0","0","7,016,100","6,116,000","900,100",
" ","6282  ","康舒            ","3,914,000","3,026,000","888,000","0","0","0","3,914,000","3,026,000","888,000",
" ","3588  ","通嘉            ","1,265,000","381,000","884,000","0","0","0","1,265,000","381,000","884,000",
" ","2392  ","正崴            ","1,330,000","452,000","878,000","0","0","0","1,330,000","452,000","878,000",
" ","6202  ","盛群            ","3,760,000","2,896,000","864,000","0","0","0","3,760,000","2,896,000","864,000",
" ","5471  ","松翰            ","1,916,000","1,056,000","860,000","0","0","0","1,916,000","1,056,000","860,000",
" ","2034  ","允強            ","3,832,000","2,987,000","845,000","0","0","0","3,832,000","2,987,000","845,000",
" ","8213  ","志超            ","945,000","101,000","844,000","0","0","0","945,000","101,000","844,000",
" ","3041  ","揚智            ","1,748,000","916,000","832,000","0","0","0","1,748,000","916,000","832,000",
" ","3062  ","建漢            ","2,071,000","1,255,000","816,000","0","0","0","2,071,000","1,255,000","816,000",
" ",="00892 ","富邦台灣半導體  ","819,000","12,000","807,000","0","0","0","819,000","12,000","807,000",
" ","2344  ","華邦電          ","13,208,813","12,419,200","789,613","0","0","0","13,208,813","12,419,200","789,613",
" ","2812  ","台中銀          ","812,000","33,000","779,000","0","0","0","812,000","33,000","779,000",
" ","1444  ","力麗            ","1,702,000","942,000","760,000","0","0","0","1,702,000","942,000","760,000",
" ","1504  ","東元            ","1,269,000","531,000","738,000","0","0","0","1,269,000","531,000","738,000",
" ","2520  ","冠德            ","1,082,730","353,000","729,730","0","0","0","1,082,730","353,000","729,730",
" ","2834  ","臺企銀          ","5,788,608","5,064,000","724,608","0","0","0","5,788,608","5,064,000","724,608",
