"110年09月03日 外資及陸資買賣超彙總表"
,,,"外資及陸資(不含外資自營商)",,,"外資自營商",,,"外資及陸資",,,
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
" ","2303  ","聯電            ","139,057,111","53,234,878","85,822,233","0","0","0","139,057,111","53,234,878","85,822,233",
" ","2330  ","台積電          ","35,697,080","6,699,567","28,997,513","0","0","0","35,697,080","6,699,567","28,997,513",
" ","2363  ","矽統            ","23,508,350","8,681,100","14,827,250","0","0","0","23,508,350","8,681,100","14,827,250",
" ","2369  ","菱生            ","20,573,000","6,145,000","14,428,000","0","0","0","20,573,000","6,145,000","14,428,000",
" ","2890  ","永豐金          ","17,425,407","4,003,000","13,422,407","0","0","0","17,425,407","4,003,000","13,422,407",
" ","2880  ","華南金          ","14,165,668","1,847,550","12,318,118","0","0","0","14,165,668","1,847,550","12,318,118",
" ","2886  ","兆豐金          ","14,117,000","2,229,000","11,888,000","0","0","0","14,117,000","2,229,000","11,888,000",
" ",="00881 ","國泰台灣5G+     ","12,232,210","447,000","11,785,210","0","0","0","12,232,210","447,000","11,785,210",
" ",="00715L","期街口布蘭特正2 ","10,728,000","458,000","10,270,000","0","0","0","10,728,000","458,000","10,270,000",
" ","2881  ","富邦金          ","15,729,464","5,495,045","10,234,419","0","0","0","15,729,464","5,495,045","10,234,419",
" ","2882  ","國泰金          ","13,328,603","5,057,000","8,271,603","0","0","0","13,328,603","5,057,000","8,271,603",
" ","2002  ","中鋼            ","17,869,613","9,629,000","8,240,613","0","0","0","17,869,613","9,629,000","8,240,613",
" ",="00893 ","國泰智能電動車  ","8,244,000","16,000","8,228,000","0","0","0","8,244,000","16,000","8,228,000",
" ","2888  ","新光金          ","11,046,141","2,819,000","8,227,141","0","0","0","11,046,141","2,819,000","8,227,141",
" ","2329  ","華泰            ","13,205,000","5,292,000","7,913,000","0","0","0","13,205,000","5,292,000","7,913,000",
" ","8150  ","南茂            ","11,698,000","3,847,000","7,851,000","0","0","0","11,698,000","3,847,000","7,851,000",
" ",="0050  ","元大台灣50      ","7,752,803","195,400","7,557,403","0","0","0","7,752,803","195,400","7,557,403",
" ","1101  ","台泥            ","9,004,000","1,998,000","7,006,000","0","0","0","9,004,000","1,998,000","7,006,000",
" ","2883  ","開發金          ","11,739,000","4,930,000","6,809,000","0","0","0","11,739,000","4,930,000","6,809,000",
" ","2337  ","旺宏            ","9,374,000","2,637,217","6,736,783","0","0","0","9,374,000","2,637,217","6,736,783",
" ","6251  ","定穎            ","7,604,000","887,000","6,717,000","0","0","0","7,604,000","887,000","6,717,000",
" ","1605  ","華新            ","7,863,118","1,423,000","6,440,118","0","0","0","7,863,118","1,423,000","6,440,118",
" ","3037  ","欣興            ","11,477,886","5,313,100","6,164,786","0","0","0","11,477,886","5,313,100","6,164,786",
" ","2891  ","中信金          ","10,127,755","4,093,295","6,034,460","0","0","0","10,127,755","4,093,295","6,034,460",
" ","2344  ","華邦電          ","24,223,479","18,531,000","5,692,479","0","0","0","24,223,479","18,531,000","5,692,479",
" ","2892  ","第一金          ","7,077,000","1,707,230","5,369,770","0","0","0","7,077,000","1,707,230","5,369,770",
" ","2449  ","京元電子        ","8,311,000","3,014,000","5,297,000","0","0","0","8,311,000","3,014,000","5,297,000",
"*","2801  ","彰銀            ","7,398,087","2,471,783","4,926,304","0","0","0","7,398,087","2,471,783","4,926,304",
" ",="00882 ","中信中國高股息  ","6,826,000","2,118,000","4,708,000","0","0","0","6,826,000","2,118,000","4,708,000",
" ","5880  ","合庫金          ","7,080,260","2,456,000","4,624,260","0","0","0","7,080,260","2,456,000","4,624,260",
" ","2823  ","中壽            ","5,350,000","799,000","4,551,000","0","0","0","5,350,000","799,000","4,551,000",
" ",="00642U","期元大S&P石油   ","4,313,800","59,000","4,254,800","0","0","0","4,313,800","59,000","4,254,800",
" ","2834  ","臺企銀          ","22,522,000","18,601,981","3,920,019","0","0","0","22,522,000","18,601,981","3,920,019",
" ","2897  ","王道銀行        ","4,342,000","639,000","3,703,000","0","0","0","4,342,000","639,000","3,703,000",
" ","1314  ","中石化          ","5,794,000","2,285,000","3,509,000","0","0","0","5,794,000","2,285,000","3,509,000",
" ","6257  ","矽格            ","4,082,469","749,000","3,333,469","0","0","0","4,082,469","749,000","3,333,469",
" ","1455  ","集盛            ","3,834,000","744,000","3,090,000","0","0","0","3,834,000","744,000","3,090,000",
" ","8215  ","明基材          ","4,982,000","1,900,000","3,082,000","0","0","0","4,982,000","1,900,000","3,082,000",
" ",="00891 ","中信關鍵半導體  ","3,520,210","451,000","3,069,210","0","0","0","3,520,210","451,000","3,069,210",
" ","1718  ","中纖            ","3,584,000","521,000","3,063,000","0","0","0","3,584,000","521,000","3,063,000",
" ","2353  ","宏碁            ","4,541,000","1,519,068","3,021,932","0","0","0","4,541,000","1,519,068","3,021,932",
" ","2324  ","仁寶            ","3,969,000","1,016,000","2,953,000","0","0","0","3,969,000","1,016,000","2,953,000",
" ","8028  ","昇陽半導體      ","3,628,680","730,981","2,897,699","0","0","0","3,628,680","730,981","2,897,699",
" ","1304  ","台聚            ","3,050,000","306,000","2,744,000","0","0","0","3,050,000","306,000","2,744,000",
" ","9904  ","寶成            ","5,094,000","2,406,000","2,688,000","0","0","0","5,094,000","2,406,000","2,688,000",
" ","2885  ","元大金          ","7,185,000","4,604,000","2,581,000","0","0","0","7,185,000","4,604,000","2,581,000",
" ","2812  ","台中銀          ","2,931,000","473,720","2,457,280","0","0","0","2,931,000","473,720","2,457,280",
" ",="00895 ","富邦未來車      ","2,415,000","0","2,415,000","0","0","0","2,415,000","0","2,415,000",
" ","1303  ","南亞            ","3,767,594","1,362,000","2,405,594","0","0","0","3,767,594","1,362,000","2,405,594",
" ","3576  ","聯合再生        ","2,863,000","571,000","2,292,000","0","0","0","2,863,000","571,000","2,292,000",
" ",="00892 ","富邦台灣半導體  ","2,677,000","410,000","2,267,000","0","0","0","2,677,000","410,000","2,267,000",
" ","2356  ","英業達          ","3,282,000","1,025,000","2,257,000","0","0","0","3,282,000","1,025,000","2,257,000",
" ","8110  ","華東            ","4,324,000","2,108,000","2,216,000","0","0","0","4,324,000","2,108,000","2,216,000",
" ","1313  ","聯成            ","3,657,000","1,509,000","2,148,000","0","0","0","3,657,000","1,509,000","2,148,000",
" ","6282  ","康舒            ","2,304,000","159,000","2,145,000","0","0","0","2,304,000","159,000","2,145,000",
" ","2312  ","金寶            ","2,381,000","283,000","2,098,000","0","0","0","2,381,000","283,000","2,098,000",
" ","2393  ","億光            ","2,905,000","869,000","2,036,000","0","0","0","2,905,000","869,000","2,036,000",
" ","2412  ","中華電          ","2,521,000","496,576","2,024,424","0","0","0","2,521,000","496,576","2,024,424",
" ","3481  ","群創            ","23,616,000","21,628,000","1,988,000","0","0","0","23,616,000","21,628,000","1,988,000",
" ","3189  ","景碩            ","7,599,227","5,623,911","1,975,316","0","0","0","7,599,227","5,623,911","1,975,316",
" ","2368  ","金像電          ","4,299,000","2,397,000","1,902,000","0","0","0","4,299,000","2,397,000","1,902,000",
" ","2313  ","華通            ","1,965,000","102,000","1,863,000","0","0","0","1,965,000","102,000","1,863,000",
" ","1326  ","台化            ","2,490,729","644,000","1,846,729","0","0","0","2,490,729","644,000","1,846,729",
" ","3711  ","日月光投控      ","6,516,144","4,691,448","1,824,696","0","0","0","6,516,144","4,691,448","1,824,696",
" ","2390  ","云辰            ","2,058,000","333,000","1,725,000","0","0","0","2,058,000","333,000","1,725,000",
" ","1440  ","南紡            ","2,069,000","349,000","1,720,000","0","0","0","2,069,000","349,000","1,720,000",
" ","4904  ","遠傳            ","1,940,000","231,729","1,708,271","0","0","0","1,940,000","231,729","1,708,271",
" ","2338  ","光罩            ","4,326,000","2,626,000","1,700,000","0","0","0","4,326,000","2,626,000","1,700,000",
" ","6153  ","嘉聯益          ","1,986,000","291,000","1,695,000","0","0","0","1,986,000","291,000","1,695,000",
" ","2015  ","豐興            ","1,945,000","356,000","1,589,000","0","0","0","1,945,000","356,000","1,589,000",
" ","2867  ","三商壽          ","1,815,000","235,000","1,580,000","0","0","0","1,815,000","235,000","1,580,000",
" ","2511  ","太子            ","2,143,000","607,000","1,536,000","0","0","0","2,143,000","607,000","1,536,000",
" ","5876  ","上海商銀        ","2,600,000","1,130,000","1,470,000","0","0","0","2,600,000","1,130,000","1,470,000",
" ","2354  ","鴻準            ","1,971,000","524,059","1,446,941","0","0","0","1,971,000","524,059","1,446,941",
" ","2845  ","遠東銀          ","1,644,000","205,000","1,439,000","0","0","0","1,644,000","205,000","1,439,000",
