"110年09月02日 外資及陸資買賣超彙總表"
,,,"外資及陸資(不含外資自營商)",,,"外資自營商",,,"外資及陸資",,,
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
"*","3010  ","華立            ","1,010,960","283,240","727,720","0","0","0","1,010,960","283,240","727,720",
" ","1904  ","正隆            ","2,430,000","1,731,000","699,000","0","0","0","2,430,000","1,731,000","699,000",
" ",="00895 ","富邦未來車      ","695,000","0","695,000","0","0","0","695,000","0","695,000",
" ","4915  ","致伸            ","849,000","163,000","686,000","0","0","0","849,000","163,000","686,000",
" ","2449  ","京元電子        ","3,109,000","2,424,000","685,000","0","0","0","3,109,000","2,424,000","685,000",
" ","6706  ","惠特            ","1,097,100","418,000","679,100","0","0","0","1,097,100","418,000","679,100",
" ","2385  ","群光            ","927,000","251,000","676,000","0","0","0","927,000","251,000","676,000",
" ","2611  ","志信            ","1,957,000","1,305,510","651,490","0","0","0","1,957,000","1,305,510","651,490",
" ","6239  ","力成            ","1,639,290","1,011,000","628,290","0","0","0","1,639,290","1,011,000","628,290",
" ","3504  ","揚明光          ","1,611,000","998,200","612,800","0","0","0","1,611,000","998,200","612,800",
" ","6271  ","同欣電          ","2,830,000","2,240,000","590,000","0","0","0","2,830,000","2,240,000","590,000",
" ","3583  ","辛耘            ","798,000","240,000","558,000","0","0","0","798,000","240,000","558,000",
" ","2383  ","台光電          ","1,144,000","589,000","555,000","0","0","0","1,144,000","589,000","555,000",
" ","1762  ","中化生          ","1,518,000","964,000","554,000","0","0","0","1,518,000","964,000","554,000",
" ","3576  ","聯合再生        ","1,216,000","662,229","553,771","0","0","0","1,216,000","662,229","553,771",
" ",="00655L","國泰中國A50正2  ","1,064,000","515,000","549,000","0","0","0","1,064,000","515,000","549,000",
" ","1517  ","利奇            ","1,502,000","956,000","546,000","0","0","0","1,502,000","956,000","546,000",
" ","2548  ","華固            ","730,023","191,000","539,023","0","0","0","730,023","191,000","539,023",
" ","1304  ","台聚            ","2,039,000","1,532,000","507,000","0","0","0","2,039,000","1,532,000","507,000",
" ",="00712 ","FH富時不動產    ","493,000","14,000","479,000","0","0","0","493,000","14,000","479,000",
" ","3701  ","大眾控          ","869,000","395,000","474,000","0","0","0","869,000","395,000","474,000",
" ","2323  ","中環            ","4,576,000","4,106,000","470,000","0","0","0","4,576,000","4,106,000","470,000",
" ","2520  ","冠德            ","985,050","521,000","464,050","0","0","0","985,050","521,000","464,050",
" ","2313  ","華通            ","1,488,030","1,041,000","447,030","0","0","0","1,488,030","1,041,000","447,030",
" ","3029  ","零壹            ","623,000","186,000","437,000","0","0","0","623,000","186,000","437,000",
" ","2049  ","上銀            ","828,152","403,355","424,797","0","0","0","828,152","403,355","424,797",
" ","2493  ","揚博            ","441,000","18,000","423,000","0","0","0","441,000","18,000","423,000",
" ","2723  ","美食-KY         ","541,000","160,000","381,000","0","0","0","541,000","160,000","381,000",
" ","2809  ","京城銀          ","808,000","436,000","372,000","0","0","0","808,000","436,000","372,000",
" ","4927  ","泰鼎-KY         ","3,736,200","3,372,000","364,200","0","0","0","3,736,200","3,372,000","364,200",
" ","2338  ","光罩            ","1,772,000","1,408,000","364,000","0","0","0","1,772,000","1,408,000","364,000",
" ",="00893 ","國泰智能電動車  ","389,000","31,000","358,000","0","0","0","389,000","31,000","358,000",
" ","6525  ","捷敏-KY         ","1,379,000","1,026,000","353,000","0","0","0","1,379,000","1,026,000","353,000",
" ","2613  ","中櫃            ","665,000","325,000","340,000","0","0","0","665,000","325,000","340,000",
" ","2351  ","順德            ","1,140,000","801,000","339,000","0","0","0","1,140,000","801,000","339,000",
" ",="00752 ","中信中國50      ","501,000","164,000","337,000","0","0","0","501,000","164,000","337,000",
" ",="00850 ","元大臺灣ESG永續 ","343,000","18,000","325,000","0","0","0","343,000","18,000","325,000",
" ",="00861 ","元大全球未來通訊","328,000","4,000","324,000","0","0","0","328,000","4,000","324,000",
" ","3003  ","健和興          ","1,462,000","1,140,000","322,000","0","0","0","1,462,000","1,140,000","322,000",
" ","3033  ","威健            ","1,339,000","1,065,000","274,000","0","0","0","1,339,000","1,065,000","274,000",
" ","1783  ","和康生          ","404,000","132,000","272,000","0","0","0","404,000","132,000","272,000",
" ","1608  ","華榮            ","952,000","685,000","267,000","0","0","0","952,000","685,000","267,000",
" ","2031  ","新光鋼          ","1,057,000","796,000","261,000","0","0","0","1,057,000","796,000","261,000",
" ",="00875 ","國泰網路資安    ","256,000","2,000","254,000","0","0","0","256,000","2,000","254,000",
" ","2010  ","春源            ","1,493,000","1,275,000","218,000","0","0","0","1,493,000","1,275,000","218,000",
" ","8926  ","台汽電          ","316,000","104,000","212,000","0","0","0","316,000","104,000","212,000",
" ","2412  ","中華電          ","1,673,232","1,475,000","198,232","0","0","0","1,673,232","1,475,000","198,232",
" ","2020  ","美亞            ","578,000","388,000","190,000","0","0","0","578,000","388,000","190,000",
" ",="00665L","富邦恒生國企正2 ","199,000","12,000","187,000","0","0","0","199,000","12,000","187,000",
" ","2030  ","彰源            ","2,708,000","2,523,000","185,000","0","0","0","2,708,000","2,523,000","185,000",
" ","5434  ","崇越            ","239,000","54,000","185,000","0","0","0","239,000","54,000","185,000",
" ","2456  ","奇力新          ","610,000","426,000","184,000","0","0","0","610,000","426,000","184,000",
" ","2069  ","運錩            ","1,086,000","905,000","181,000","0","0","0","1,086,000","905,000","181,000",
" ","2836  ","高雄銀          ","228,000","47,000","181,000","0","0","0","228,000","47,000","181,000",
" ","1903  ","士紙            ","440,000","262,000","178,000","0","0","0","440,000","262,000","178,000",
" ",="00692 ","富邦公司治理    ","201,055","25,200","175,855","0","0","0","201,055","25,200","175,855",
" ","3356  ","奇偶            ","282,000","113,000","169,000","0","0","0","282,000","113,000","169,000",
" ","1722  ","台肥            ","511,182","349,000","162,182","0","0","0","511,182","349,000","162,182",
" ","2013  ","中鋼構          ","322,000","163,000","159,000","0","0","0","322,000","163,000","159,000",
" ","4106  ","雃博            ","255,016","101,000","154,016","0","0","0","255,016","101,000","154,016",
" ","3661  ","世芯-KY         ","1,504,800","1,356,800","148,000","0","0","0","1,504,800","1,356,800","148,000",
" ","2015  ","豐興            ","455,000","312,000","143,000","0","0","0","455,000","312,000","143,000",
" ","8070  ","長華*           ","367,000","230,000","137,000","0","0","0","367,000","230,000","137,000",
" ","1536  ","和大            ","222,000","98,000","124,000","0","0","0","222,000","98,000","124,000",
" ","1310  ","台苯            ","1,033,000","913,000","120,000","0","0","0","1,033,000","913,000","120,000",
" ","2414  ","精技            ","215,000","95,000","120,000","0","0","0","215,000","95,000","120,000",
" ",="00753L","中信中國50正2   ","259,000","141,000","118,000","0","0","0","259,000","141,000","118,000",
" ",="00650L","FH香港正2       ","140,000","25,000","115,000","0","0","0","140,000","25,000","115,000",
" ","1442  ","名軒            ","214,000","100,000","114,000","0","0","0","214,000","100,000","114,000",
" ","1513  ","中興電          ","538,000","425,000","113,000","0","0","0","538,000","425,000","113,000",
" ","1532  ","勤美            ","912,550","800,000","112,550","0","0","0","912,550","800,000","112,550",
" ","2886  ","兆豐金          ","3,220,698","3,110,000","110,698","0","0","0","3,220,698","3,110,000","110,698",
" ",="00678 ","群益NBI生技     ","106,000","0","106,000","0","0","0","106,000","0","106,000",
" ",="030082","超眾群益11購01  ","100,000","0","100,000","0","0","0","100,000","0","100,000",
" ",="033408","南亞科第一15購01","100,000","0","100,000","0","0","0","100,000","0","100,000",
" ","1710  ","東聯            ","409,000","310,000","99,000","0","0","0","409,000","310,000","99,000",
" ","3019  ","亞光            ","467,000","370,000","97,000","0","0","0","467,000","370,000","97,000",
" ","1229  ","聯華            ","231,000","138,000","93,000","0","0","0","231,000","138,000","93,000",
" ","1434  ","福懋            ","197,000","105,000","92,000","0","0","0","197,000","105,000","92,000",
" ","2204  ","中華            ","354,000","262,000","92,000","0","0","0","354,000","262,000","92,000",
" ",="00783 ","富邦中証500     ","90,000","0","90,000","0","0","0","90,000","0","90,000",
"*","2912  ","統一超          ","782,858","701,000","81,858","0","0","0","782,858","701,000","81,858",
" ","1789  ","神隆            ","168,000","91,000","77,000","0","0","0","168,000","91,000","77,000",
" ","2419  ","仲琦            ","87,000","13,000","74,000","0","0","0","87,000","13,000","74,000",
" ","2527  ","宏璟            ","326,000","253,000","73,000","0","0","0","326,000","253,000","73,000",
" ",="00737 ","國泰AI+Robo     ","71,000","0","71,000","0","0","0","71,000","0","71,000",
" ","2530  ","華建            ","134,000","63,000","71,000","0","0","0","134,000","63,000","71,000",
" ",="00643 ","群益深証中小    ","76,000","6,000","70,000","0","0","0","76,000","6,000","70,000",
" ",="037592","健和興群益0C購01","100,000","30,000","70,000","0","0","0","100,000","30,000","70,000",
" ","1725  ","元禎            ","84,000","15,000","69,000","0","0","0","84,000","15,000","69,000",
" ","2478  ","大毅            ","152,000","83,000","69,000","0","0","0","152,000","83,000","69,000",
" ","1218  ","泰山            ","143,000","77,000","66,000","0","0","0","143,000","77,000","66,000",
" ","1711  ","永光            ","311,000","245,000","66,000","0","0","0","311,000","245,000","66,000",
" ","5258  ","虹堡            ","359,000","295,000","64,000","0","0","0","359,000","295,000","64,000",
" ","2007  ","燁興            ","2,087,000","2,024,000","63,000","0","0","0","2,087,000","2,024,000","63,000",
" ","9908  ","大台北          ","90,000","28,000","62,000","0","0","0","90,000","28,000","62,000",
" ","9910  ","豐泰            ","452,161","391,499","60,662","0","0","0","452,161","391,499","60,662",
" ",="00673R","期元大S&P原油反1","80,000","20,000","60,000","0","0","0","80,000","20,000","60,000",
" ","910861","神州-DR         ","60,000","0","60,000","0","0","0","60,000","0","60,000",
" ","2395  ","研華            ","673,456","614,000","59,456","0","0","0","673,456","614,000","59,456",
" ",="00633L","富邦上証正2     ","641,000","582,000","59,000","0","0","0","641,000","582,000","59,000",
" ","3011  ","今皓            ","459,300","401,000","58,300","0","0","0","459,300","401,000","58,300",
" ",="00631L","元大台灣50正2   ","235,000","177,000","58,000","0","0","0","235,000","177,000","58,000",
" ","1316  ","上曜            ","73,000","17,000","56,000","0","0","0","73,000","17,000","56,000",
" ","2028  ","威致            ","607,000","552,000","55,000","0","0","0","607,000","552,000","55,000",
" ",="006205","富邦上証        ","121,000","67,000","54,000","0","0","0","121,000","67,000","54,000",
" ","3092  ","鴻碩            ","387,000","335,000","52,000","0","0","0","387,000","335,000","52,000",
" ",="00736 ","國泰新興市場    ","51,000","0","51,000","0","0","0","51,000","0","51,000",
" ","2233  ","宇隆            ","129,000","78,000","51,000","0","0","0","129,000","78,000","51,000",
" ","2243  ","宏旭-KY         ","86,000","36,000","50,000","0","0","0","86,000","36,000","50,000",
" ","2301  ","光寶科          ","1,852,859","1,803,000","49,859","0","0","0","1,852,859","1,803,000","49,859",
" ","3060  ","銘異            ","197,021","148,000","49,021","0","0","0","197,021","148,000","49,021",
" ","8201  ","無敵            ","303,000","257,000","46,000","0","0","0","303,000","257,000","46,000",
" ","6214  ","精誠            ","89,000","44,000","45,000","0","0","0","89,000","44,000","45,000",
" ","4943  ","康控-KY         ","118,000","77,000","41,000","0","0","0","118,000","77,000","41,000",
" ",="032679","裕民中信0B購01  ","40,000","0","40,000","0","0","0","40,000","0","40,000",
" ","1474  ","弘裕            ","208,000","169,000","39,000","0","0","0","208,000","169,000","39,000",
" ","2425  ","承啟            ","237,000","198,000","39,000","0","0","0","237,000","198,000","39,000",
" ","1416  ","廣豐            ","59,000","21,000","38,000","0","0","0","59,000","21,000","38,000",
" ","6743  ","安普新          ","78,000","40,000","38,000","0","0","0","78,000","40,000","38,000",
" ","8996  ","高力            ","44,000","6,000","38,000","0","0","0","44,000","6,000","38,000",
" ","2545  ","皇翔            ","103,000","68,000","35,000","0","0","0","103,000","68,000","35,000",
" ",="006208","富邦台50        ","56,085","21,400","34,685","0","0","0","56,085","21,400","34,685",
" ","2707  ","晶華            ","41,000","8,000","33,000","0","0","0","41,000","8,000","33,000",
" ",="0052  ","富邦科技        ","54,000","21,030","32,970","0","0","0","54,000","21,030","32,970",
" ","1215  ","卜蜂            ","94,000","62,000","32,000","0","0","0","94,000","62,000","32,000",
" ","2466  ","冠西電          ","34,000","2,000","32,000","0","0","0","34,000","2,000","32,000",
" ",="006207","FH滬深          ","45,000","14,000","31,000","0","0","0","45,000","14,000","31,000",
" ","8404  ","百和興業-KY     ","122,000","91,000","31,000","0","0","0","122,000","91,000","31,000",
" ","2027  ","大成鋼          ","3,362,000","3,331,065","30,935","0","0","0","3,362,000","3,331,065","30,935",
" ",="039080","景碩元大11購05  ","30,000","0","30,000","0","0","0","30,000","0","30,000",
" ","2423  ","固緯            ","60,000","30,000","30,000","0","0","0","60,000","30,000","30,000",
" ","2032  ","新鋼            ","586,000","558,000","28,000","0","0","0","586,000","558,000","28,000",
" ","3321  ","同泰            ","50,000","22,000","28,000","0","0","0","50,000","22,000","28,000",
" ","2390  ","云辰            ","424,000","397,000","27,000","0","0","0","424,000","397,000","27,000",
" ","6112  ","聚碩            ","46,000","19,000","27,000","0","0","0","46,000","19,000","27,000",
" ","2420  ","新巨            ","76,000","50,000","26,000","0","0","0","76,000","50,000","26,000",
" ","2211  ","長榮鋼          ","82,000","59,000","23,000","0","0","0","82,000","59,000","23,000",
" ",="06988P","聯電兆豐11售02  ","22,000","0","22,000","0","0","0","22,000","0","22,000",
" ","2537  ","聯上發          ","63,000","41,000","22,000","0","0","0","63,000","41,000","22,000",
" ","9946  ","三發地產        ","27,000","5,000","22,000","0","0","0","27,000","5,000","22,000",
" ","9933  ","中鼎            ","301,000","280,000","21,000","0","0","0","301,000","280,000","21,000",
" ","6781  ","AES-KY          ","56,002","36,000","20,002","0","0","0","56,002","36,000","20,002",
" ",="00717 ","富邦美國特別股  ","27,000","7,000","20,000","0","0","0","27,000","7,000","20,000",
" ",="033567","台航永豐0B購02  ","20,000","0","20,000","0","0","0","20,000","0","20,000",
" ","1110  ","東泥            ","22,000","2,000","20,000","0","0","0","22,000","2,000","20,000",
" ","2355  ","敬鵬            ","587,000","567,000","20,000","0","0","0","587,000","567,000","20,000",
" ","6412  ","群電            ","41,000","21,000","20,000","0","0","0","41,000","21,000","20,000",
" ",="0056  ","元大高股息      ","350,420","332,000","18,420","0","0","0","350,420","332,000","18,420",
" ","2514  ","龍邦            ","35,000","17,000","18,000","0","0","0","35,000","17,000","18,000",
" ","6183  ","關貿            ","18,000","0","18,000","0","0","0","18,000","0","18,000",
" ","8463  ","潤泰材          ","18,000","0","18,000","0","0","0","18,000","0","18,000",
" ","9940  ","信義            ","58,000","40,000","18,000","0","0","0","58,000","40,000","18,000",
" ","1906  ","寶隆            ","107,000","90,000","17,000","0","0","0","107,000","90,000","17,000",
" ","3055  ","蔚華科          ","20,000","3,000","17,000","0","0","0","20,000","3,000","17,000",
" ","5525  ","順天            ","18,000","1,000","17,000","0","0","0","18,000","1,000","17,000",
" ","6024  ","群益期          ","32,000","15,000","17,000","0","0","0","32,000","15,000","17,000",
" ","8210  ","勤誠            ","30,000","13,000","17,000","0","0","0","30,000","13,000","17,000",
" ","8478  ","東哥遊艇        ","53,000","36,000","17,000","0","0","0","53,000","36,000","17,000",
" ","1707  ","葡萄王          ","24,000","7,234","16,766","0","0","0","24,000","7,234","16,766",
" ","3450  ","聯鈞            ","87,000","71,000","16,000","0","0","0","87,000","71,000","16,000",
" ","4104  ","佳醫            ","19,000","4,000","15,000","0","0","0","19,000","4,000","15,000",
" ","8422  ","可寧衛          ","38,000","23,000","15,000","0","0","0","38,000","23,000","15,000",
" ","5876  ","上海商銀        ","1,038,187","1,024,838","13,349","0","0","0","1,038,187","1,024,838","13,349",
" ","1109  ","信大            ","73,000","60,000","13,000","0","0","0","73,000","60,000","13,000",
" ","4916  ","事欣科          ","59,000","46,000","13,000","0","0","0","59,000","46,000","13,000",
" ","6197  ","佳必琪          ","20,000","7,000","13,000","0","0","0","20,000","7,000","13,000",
" ","9938  ","百和            ","262,007","249,230","12,777","0","0","0","262,007","249,230","12,777",
" ","4722  ","國精化          ","113,000","101,000","12,000","0","0","0","113,000","101,000","12,000",
" ","5546  ","永固-KY         ","17,000","5,000","12,000","0","0","0","17,000","5,000","12,000",
" ",="00711B","FH彭博新興債    ","11,000","0","11,000","0","0","0","11,000","0","11,000",
" ",="033284","長榮統一12購03  ","11,000","0","11,000","0","0","0","11,000","0","11,000",
" ","3167  ","大量            ","118,000","107,000","11,000","0","0","0","118,000","107,000","11,000",
" ",="031632","長榮航統一0C購03","10,000","0","10,000","0","0","0","10,000","0","10,000",
" ",="032688","大成鋼永豐0A購06","10,000","0","10,000","0","0","0","10,000","0","10,000",
" ",="033657","友達統一15購03  ","10,000","0","10,000","0","0","0","10,000","0","10,000",
" ","1473  ","台南            ","11,000","1,000","10,000","0","0","0","11,000","1,000","10,000",
" ","3030  ","德律            ","46,000","36,000","10,000","0","0","0","46,000","36,000","10,000",
" ","6205  ","詮欣            ","15,000","5,000","10,000","0","0","0","15,000","5,000","10,000",
" ","6605  ","帝寶            ","70,000","60,000","10,000","0","0","0","70,000","60,000","10,000",
" ","9917  ","中保科          ","39,000","29,000","10,000","0","0","0","39,000","29,000","10,000",
" ","2528  ","皇普            ","9,000","0","9,000","0","0","0","9,000","0","9,000",
" ","3311  ","閎暉            ","12,000","3,000","9,000","0","0","0","12,000","3,000","9,000",
" ",="00700 ","富邦恒生國企    ","10,000","2,000","8,000","0","0","0","10,000","2,000","8,000",
" ",="07852P","南帝元大13售03  ","8,000","0","8,000","0","0","0","8,000","0","8,000",
" ","1451  ","年興            ","78,000","70,000","8,000","0","0","0","78,000","70,000","8,000",
" ","1531  ","高林股          ","10,000","2,000","8,000","0","0","0","10,000","2,000","8,000",
" ","2904  ","匯僑            ","11,000","3,000","8,000","0","0","0","11,000","3,000","8,000",
" ","3617  ","碩天            ","11,000","3,000","8,000","0","0","0","11,000","3,000","8,000",
" ","4155  ","訊映            ","9,000","1,000","8,000","0","0","0","9,000","1,000","8,000",
" ","5871A ","中租-KY甲特     ","8,000","0","8,000","0","0","0","8,000","0","8,000",
" ","8940  ","新天地          ","8,000","0","8,000","0","0","0","8,000","0","8,000",
" ",="037760","聯發科第一16購02","7,000","0","7,000","0","0","0","7,000","0","7,000",
" ",="041929","晶豪科元大13購01","7,000","0","7,000","0","0","0","7,000","0","7,000",
" ",="07002P","欣興元大0B售01  ","7,000","0","7,000","0","0","0","7,000","0","7,000",
" ","2459  ","敦吉            ","16,000","9,000","7,000","0","0","0","16,000","9,000","7,000",
" ","3164  ","景岳            ","13,000","6,000","7,000","0","0","0","13,000","6,000","7,000",
" ","3013  ","晟銘電          ","9,040","3,000","6,040","0","0","0","9,040","3,000","6,040",
" ","6668  ","中揚光          ","89,032","83,000","6,032","0","0","0","89,032","83,000","6,032",
" ",="034045","裕民元富12購02  ","6,000","0","6,000","0","0","0","6,000","0","6,000",
" ","1530  ","亞崴            ","11,000","5,000","6,000","0","0","0","11,000","5,000","6,000",
" ","1720  ","生達            ","23,000","17,000","6,000","0","0","0","23,000","17,000","6,000",
" ","2936  ","客思達-KY       ","6,000","0","6,000","0","0","0","6,000","0","6,000",
" ",="033246","義隆元大0B購03  ","5,000","0","5,000","0","0","0","5,000","0","5,000",
" ",="07003P","欣興元大0B售02  ","5,000","0","5,000","0","0","0","5,000","0","5,000",
" ","2535  ","達欣工          ","141,000","136,000","5,000","0","0","0","141,000","136,000","5,000",
" ","2739  ","寒舍            ","7,000","2,000","5,000","0","0","0","7,000","2,000","5,000",
" ","2838A ","聯邦銀甲特      ","5,000","0","5,000","0","0","0","5,000","0","5,000",
" ","3036A ","文曄甲特        ","5,000","0","5,000","0","0","0","5,000","0","5,000",
" ","4119  ","旭富            ","37,000","32,000","5,000","0","0","0","37,000","32,000","5,000",
" ","6581  ","鋼聯            ","13,000","8,000","5,000","0","0","0","13,000","8,000","5,000",
" ",="00640L","富邦日本正2     ","4,000","0","4,000","0","0","0","4,000","0","4,000",
" ",="00688L","國泰20年美債正2 ","4,000","0","4,000","0","0","0","4,000","0","4,000",
" ",="00690 ","兆豐藍籌30      ","4,000","0","4,000","0","0","0","4,000","0","4,000",
" ",="00743 ","國泰中國A150    ","4,000","0","4,000","0","0","0","4,000","0","4,000",
" ","1558  ","伸興            ","22,000","18,000","4,000","0","0","0","22,000","18,000","4,000",
" ","1730  ","花仙子          ","4,000","0","4,000","0","0","0","4,000","0","4,000",
" ","2524  ","京城            ","4,000","0","4,000","0","0","0","4,000","0","4,000",
" ","2913  ","農林            ","306,000","302,000","4,000","0","0","0","306,000","302,000","4,000",
" ","3454  ","晶睿            ","5,000","1,000","4,000","0","0","0","5,000","1,000","4,000",
" ","4190  ","佐登-KY         ","8,000","4,000","4,000","0","0","0","8,000","4,000","4,000",
" ","4560  ","強信-KY         ","53,000","49,000","4,000","0","0","0","53,000","49,000","4,000",
" ","5234  ","達興材料        ","28,000","24,000","4,000","0","0","0","28,000","24,000","4,000",
" ","6184  ","大豐電          ","8,000","4,000","4,000","0","0","0","8,000","4,000","4,000",
" ",="01002T","土銀國泰R1      ","3,540","0","3,540","0","0","0","3,540","0","3,540",
" ",="00733 ","富邦臺灣中小    ","51,000","48,000","3,000","0","0","0","51,000","48,000","3,000",
" ",="00738U","期元大道瓊白銀  ","3,000","0","3,000","0","0","0","3,000","0","3,000",
" ",="032327","中鋼群益0C購02  ","3,000","0","3,000","0","0","0","3,000","0","3,000",
