"110年07月19日 外資及陸資買賣超彙總表"
,,,"外資及陸資(不含外資自營商)",,,"外資自營商",,,"外資及陸資",,,
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
" ","6116  ","彩晶            ","20,315,809","12,178,510","8,137,299","0","0","0","20,315,809","12,178,510","8,137,299",
" ","4306  ","炎洲            ","6,673,000","782,000","5,891,000","0","0","0","6,673,000","782,000","5,891,000",
" ","1455  ","集盛            ","5,459,000","912,000","4,547,000","0","0","0","5,459,000","912,000","4,547,000",
" ","1409  ","新纖            ","5,149,000","731,200","4,417,800","0","0","0","5,149,000","731,200","4,417,800",
" ","8112  ","至上            ","4,658,000","505,094","4,152,906","0","0","0","4,658,000","505,094","4,152,906",
" ","2010  ","春源            ","8,369,100","4,554,000","3,815,100","0","0","0","8,369,100","4,554,000","3,815,100",
" ","2610  ","華航            ","8,617,000","5,059,000","3,558,000","0","0","0","8,617,000","5,059,000","3,558,000",
" ","2520  ","冠德            ","3,668,000","332,000","3,336,000","0","0","0","3,668,000","332,000","3,336,000",
" ","1907  ","永豐餘          ","4,282,000","961,000","3,321,000","0","0","0","4,282,000","961,000","3,321,000",
" ","2618  ","長榮航          ","13,230,800","10,150,000","3,080,800","0","0","0","13,230,800","10,150,000","3,080,800",
" ","2890  ","永豐金          ","12,218,000","9,233,020","2,984,980","0","0","0","12,218,000","9,233,020","2,984,980",
" ","6443  ","元晶            ","9,476,000","6,823,000","2,653,000","0","0","0","9,476,000","6,823,000","2,653,000",
" ","1314  ","中石化          ","6,573,000","3,952,000","2,621,000","0","0","0","6,573,000","3,952,000","2,621,000",
" ",="00642U","期元大S&P石油   ","3,322,000","870,000","2,452,000","0","0","0","3,322,000","870,000","2,452,000",
" ","1909  ","榮成            ","3,941,139","1,570,000","2,371,139","0","0","0","3,941,139","1,570,000","2,371,139",
" ","1304  ","台聚            ","3,621,000","1,309,000","2,312,000","0","0","0","3,621,000","1,309,000","2,312,000",
" ","1102  ","亞泥            ","4,824,236","2,523,803","2,300,433","0","0","0","4,824,236","2,523,803","2,300,433",
" ","2323  ","中環            ","2,947,000","667,000","2,280,000","0","0","0","2,947,000","667,000","2,280,000",
" ","2208  ","台船            ","3,473,000","1,269,000","2,204,000","0","0","0","3,473,000","1,269,000","2,204,000",
" ","2886  ","兆豐金          ","9,955,632","7,782,000","2,173,632","0","0","0","9,955,632","7,782,000","2,173,632",
" ","1101  ","台泥            ","4,708,033","2,735,000","1,973,033","0","0","0","4,708,033","2,735,000","1,973,033",
" ","3049  ","和鑫            ","2,629,000","728,421","1,900,579","0","0","0","2,629,000","728,421","1,900,579",
" ","2461  ","光群雷          ","2,183,000","328,000","1,855,000","0","0","0","2,183,000","328,000","1,855,000",
" ","2456  ","奇力新          ","1,954,000","249,000","1,705,000","0","0","0","1,954,000","249,000","1,705,000",
" ","1308  ","亞聚            ","3,366,000","1,709,000","1,657,000","0","0","0","3,366,000","1,709,000","1,657,000",
" ","8021  ","尖點            ","2,269,000","669,000","1,600,000","0","0","0","2,269,000","669,000","1,600,000",
" ","3016  ","嘉晶            ","2,484,000","929,000","1,555,000","0","0","0","2,484,000","929,000","1,555,000",
" ","3003  ","健和興          ","1,810,000","335,000","1,475,000","0","0","0","1,810,000","335,000","1,475,000",
" ","2329  ","華泰            ","4,081,200","2,629,000","1,452,200","0","0","0","4,081,200","2,629,000","1,452,200",
" ","1513  ","中興電          ","1,869,000","453,000","1,416,000","0","0","0","1,869,000","453,000","1,416,000",
" ","8110  ","華東            ","2,774,000","1,375,000","1,399,000","0","0","0","2,774,000","1,375,000","1,399,000",
" ","3686  ","達能            ","1,856,000","460,000","1,396,000","0","0","0","1,856,000","460,000","1,396,000",
" ","1310  ","台苯            ","1,679,000","349,000","1,330,000","0","0","0","1,679,000","349,000","1,330,000",
" ","8261  ","富鼎            ","4,440,000","3,132,962","1,307,038","0","0","0","4,440,000","3,132,962","1,307,038",
"*","3711  ","日月光投控      ","8,979,000","7,687,249","1,291,751","0","0","0","8,979,000","7,687,249","1,291,751",
