"110年07月20日 外資及陸資買賣超彙總表"
,,,"外資及陸資(不含外資自營商)",,,"外資自營商",,,"外資及陸資",,,
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
" ","4142  ","國光生          ","807,000","287,200","519,800","0","0","0","807,000","287,200","519,800",
" ","2915  ","潤泰全          ","889,000","371,000","518,000","0","0","0","889,000","371,000","518,000",
" ","2351  ","順德            ","844,020","354,000","490,020","0","0","0","844,020","354,000","490,020",
" ","2103  ","台橡            ","1,128,000","646,000","482,000","0","0","0","1,128,000","646,000","482,000",
" ","8103  ","瀚荃            ","903,000","428,000","475,000","0","0","0","903,000","428,000","475,000",
" ","3036  ","文曄            ","671,000","204,000","467,000","0","0","0","671,000","204,000","467,000",
" ","5515  ","建國            ","531,000","70,000","461,000","0","0","0","531,000","70,000","461,000",
" ","2820  ","華票            ","620,000","162,000","458,000","0","0","0","620,000","162,000","458,000",
" ","1301  ","台塑            ","2,567,712","2,121,700","446,012","0","0","0","2,567,712","2,121,700","446,012",
" ","1229  ","聯華            ","750,015","310,000","440,015","0","0","0","750,015","310,000","440,015",
" ","8215  ","明基材          ","2,412,000","1,981,000","431,000","0","0","0","2,412,000","1,981,000","431,000",
" ","2472  ","立隆電          ","1,058,000","633,000","425,000","0","0","0","1,058,000","633,000","425,000",
" ",="00632R","元大台灣50反1   ","1,430,000","1,008,000","422,000","0","0","0","1,430,000","1,008,000","422,000",
" ","2838  ","聯邦銀          ","505,000","85,000","420,000","0","0","0","505,000","85,000","420,000",
" ","2033  ","佳大            ","1,883,100","1,466,000","417,100","0","0","0","1,883,100","1,466,000","417,100",
" ",="00875 ","國泰網路資安    ","395,000","2,000","393,000","0","0","0","395,000","2,000","393,000",
" ","5285  ","界霖            ","1,079,000","687,000","392,000","0","0","0","1,079,000","687,000","392,000",
" ","2069  ","運錩            ","4,292,000","3,902,007","389,993","0","0","0","4,292,000","3,902,007","389,993",
" ","2897  ","王道銀行        ","589,000","218,000","371,000","0","0","0","589,000","218,000","371,000",
" ","2614  ","東森            ","381,400","19,000","362,400","0","0","0","381,400","19,000","362,400",
" ",="00639 ","富邦深100       ","406,000","46,000","360,000","0","0","0","406,000","46,000","360,000",
" ","8070  ","長華*           ","799,040","451,000","348,040","0","0","0","799,040","451,000","348,040",
" ",="00636 ","國泰中國A50     ","368,000","24,000","344,000","0","0","0","368,000","24,000","344,000",
" ","9910  ","豐泰            ","401,388","68,145","333,243","0","0","0","401,388","68,145","333,243",
" ",="00673R","期元大S&P原油反1","623,000","297,000","326,000","0","0","0","623,000","297,000","326,000",
" ","9927  ","泰銘            ","771,000","447,000","324,000","0","0","0","771,000","447,000","324,000",
" ",="00830 ","國泰費城半導體  ","333,910","15,000","318,910","0","0","0","333,910","15,000","318,910",
" ","9904  ","寶成            ","1,909,000","1,590,400","318,600","0","0","0","1,909,000","1,590,400","318,600",
" ","6456  ","GIS-KY          ","1,142,000","824,000","318,000","0","0","0","1,142,000","824,000","318,000",
" ","2454  ","聯發科          ","1,740,482","1,422,801","317,681","0","0","0","1,740,482","1,422,801","317,681",
" ",="00693U","期街口S&P黃豆   ","322,000","6,000","316,000","0","0","0","322,000","6,000","316,000",
" ","6215  ","和椿            ","1,610,000","1,294,000","316,000","0","0","0","1,610,000","1,294,000","316,000",
" ","1217  ","愛之味          ","894,000","581,000","313,000","0","0","0","894,000","581,000","313,000",
" ","6142  ","友勁            ","827,000","531,000","296,000","0","0","0","827,000","531,000","296,000",
" ","2613  ","中櫃            ","670,000","375,000","295,000","0","0","0","670,000","375,000","295,000",
" ","2388  ","威盛            ","1,252,000","961,000","291,000","0","0","0","1,252,000","961,000","291,000",
" ","9934  ","成霖            ","323,000","38,000","285,000","0","0","0","323,000","38,000","285,000",
" ","9945  ","潤泰新          ","948,248","667,200","281,048","0","0","0","948,248","667,200","281,048",
" ","3653  ","健策            ","729,000","452,100","276,900","0","0","0","729,000","452,100","276,900",
" ","1709  ","和益            ","592,000","331,000","261,000","0","0","0","592,000","331,000","261,000",
" ",="00881 ","國泰台灣5G+     ","1,086,000","826,970","259,030","0","0","0","1,086,000","826,970","259,030",
" ","5522  ","遠雄            ","428,738","176,000","252,738","0","0","0","428,738","176,000","252,738",
" ","6214  ","精誠            ","425,000","176,000","249,000","0","0","0","425,000","176,000","249,000",
" ",="00643 ","群益深証中小    ","249,000","3,000","246,000","0","0","0","249,000","3,000","246,000",
" ","2608  ","嘉里大榮        ","791,000","551,000","240,000","0","0","0","791,000","551,000","240,000",
" ","9924  ","福興            ","263,000","28,000","235,000","0","0","0","263,000","28,000","235,000",
" ","2457  ","飛宏            ","2,589,031","2,355,000","234,031","0","0","0","2,589,031","2,355,000","234,031",
" ","3094  ","聯傑            ","1,687,000","1,455,000","232,000","0","0","0","1,687,000","1,455,000","232,000",
" ","2038  ","海光            ","1,842,000","1,612,000","230,000","0","0","0","1,842,000","1,612,000","230,000",
" ","4930  ","燦星網          ","387,000","171,000","216,000","0","0","0","387,000","171,000","216,000",
" ","5706  ","鳳凰            ","295,000","89,000","206,000","0","0","0","295,000","89,000","206,000",
" ","2845  ","遠東銀          ","506,000","302,000","204,000","0","0","0","506,000","302,000","204,000",
" ",="06226P","緯創元大08售02  ","200,000","0","200,000","0","0","0","200,000","0","200,000",
" ",="006207","FH滬深          ","192,000","0","192,000","0","0","0","192,000","0","192,000",
" ","1210  ","大成            ","292,040","102,000","190,040","0","0","0","292,040","102,000","190,040",
" ",="00861 ","元大全球未來通訊","192,000","5,000","187,000","0","0","0","192,000","5,000","187,000",
" ","6139  ","亞翔            ","262,000","78,000","184,000","0","0","0","262,000","78,000","184,000",
